UID,top_rec
128,"[{29: 4.836314447352264}, [29, 36, 27, 35, 89, 53, 100, 22, 72, 91]]"
129,"[{34: 5.4212936965051135}, [34, 45, 2, 100, 89, 64, 88, 67, 35, 81]]"
130,"[{89: 4.195085521073663}, [89, 47, 54, 66, 88, 94, 63, 49, 93, 76]]"
131,"[{65: 4.839533224468161}, [65, 69, 47, 21, 46, 6, 11, 26, 100, 34]]"
132,"[{100: 4.661364515968222}, [100, 27, 81, 98, 56, 36, 54, 72, 51, 61]]"
133,"[{84: 6.063734737309211}, [84, 97, 82, 10, 25, 81, 87, 49, 99, 32]]"
134,"[{10: 3.745075674891771}, [10, 23, 89, 48, 86, 94, 57, 9, 96, 90]]"
135,"[{46: 7.287396745397582}, [46, 38, 54, 14, 50, 94, 49, 89, 96, 9]]"
136,"[{36: 5.944188650703801}, [36, 92, 70, 62, 22, 73, 29, 80, 6, 93]]"
137,"[{53: 5.447706871344616}, [53, 89, 81, 72, 88, 5, 93, 83, 100, 91]]"
138,"[{90: 6.384400524406272}, [90, 19, 82, 84, 89, 63, 94, 86, 96, 47]]"
139,"[{50: 2.4904641411399644}, [50, 72, 89, 83, 78, 93, 98, 76, 100, 81]]"
140,"[{65: 3.0299148542648395}, [65, 50, 29, 10, 36, 53, 60, 22, 49, 62]]"
141,"[{89: 3.407698876638225}, [89, 60, 10, 81, 88, 11, 93, 91, 72, 97]]"
142,"[{89: 3.886616043630892}, [89, 68, 76, 54, 72, 35, 93, 91, 96, 88]]"
143,"[{29: 6.400017970560026}, [29, 49, 69, 89, 66, 47, 36, 14, 28, 72]]"
144,"[{89: 2.792209196693535}, [89, 81, 72, 100, 83, 76, 14, 93, 87, 69]]"
145,"[{50: 3.6767494649602193}, [50, 89, 68, 10, 93, 72, 91, 81, 76, 48]]"
146,"[{62: 7.25181797375382}, [62, 50, 48, 89, 53, 72, 100, 76, 93, 2]]"
147,"[{35: 5.693942324421577}, [35, 62, 49, 54, 69, 66, 56, 72, 28, 26]]"
148,"[{89: 0.3170394428521337}, [89, 76, 88, 87, 72, 96, 81, 97, 1, 91]]"
149,"[{89: 6.615826196258952}, [89, 50, 88, 91, 94, 48, 93, 46, 87, 95]]"
150,"[{36: 5.724690129954851}, [36, 68, 21, 61, 83, 14, 72, 22, 34, 80]]"
151,"[{100: 7.31652068880473}, [100, 98, 12, 42, 72, 83, 73, 81, 14, 31]]"
152,"[{89: 4.995438389399334}, [89, 72, 93, 76, 78, 21, 85, 82, 91, 47]]"
153,"[{15: 0.6178695078247345}, [15, 89, 35, 88, 87, 93, 81, 95, 76, 91]]"
154,"[{62: 7.849447324005425}, [62, 49, 56, 72, 83, 12, 10, 1, 30, 79]]"
155,"[{10: 5.341538467892343}, [10, 50, 1, 27, 31, 81, 86, 9, 34, 3]]"
156,"[{100: 4.817962681203847}, [100, 53, 21, 72, 98, 76, 80, 83, 89, 87]]"
157,"[{89: 1.7051789781233178}, [89, 36, 91, 93, 32, 94, 95, 96, 49, 83]]"
158,"[{89: 1.0120110676331973}, [89, 93, 76, 49, 72, 91, 77, 83, 97, 78]]"
159,"[{100: 6.414429149735991}, [100, 97, 70, 75, 27, 53, 35, 66, 45, 22]]"
160,"[{78: 9.893273249500556}, [78, 73, 80, 72, 6, 77, 89, 52, 85, 35]]"
161,"[{69: 2.6454963794579425}, [69, 89, 76, 49, 72, 92, 47, 96, 29, 93]]"
162,"[{89: 3.057298597052613}, [89, 62, 49, 60, 97, 93, 91, 53, 72, 76]]"
163,"[{89: 3.714337667345715}, [89, 32, 61, 28, 76, 69, 6, 97, 93, 47]]"
164,"[{11: 3.7111905259251197}, [11, 21, 40, 38, 60, 81, 100, 23, 89, 83]]"
165,"[{11: 9.172578541566079}, [11, 12, 31, 65, 50, 48, 100, 39, 38, 42]]"
166,"[{90: 1.5087716034999983}, [90, 19, 96, 91, 67, 92, 8, 28, 77, 63]]"
167,"[{89: 5.531474467063694}, [89, 27, 54, 31, 72, 8, 40, 3, 64, 26]]"
168,"[{27: 9.337724643785258}, [27, 36, 6, 68, 42, 49, 48, 14, 22, 70]]"
169,"[{94: 2.834226689443374}, [94, 86, 60, 9, 44, 38, 1, 91, 88, 81]]"
170,"[{21: 5.748968709827675}, [21, 42, 34, 35, 14, 22, 12, 72, 39, 6]]"
171,"[{29: 4.838856436010143}, [29, 36, 72, 87, 80, 83, 76, 81, 93, 100]]"
172,"[{89: 2.670472077044038}, [89, 86, 94, 91, 22, 28, 96, 97, 95, 72]]"
173,"[{89: 4.619997992389601}, [89, 69, 88, 91, 38, 48, 72, 76, 93, 10]]"
174,"[{10: 2.9537510579758237}, [10, 11, 65, 89, 53, 40, 34, 62, 81, 72]]"
175,"[{89: 4.50052719264737}, [89, 91, 94, 48, 96, 90, 97, 93, 36, 63]]"
176,"[{69: 7.849648940887735}, [69, 83, 72, 56, 76, 93, 98, 61, 87, 47]]"
177,"[{72: 1.9822919653995394}, [72, 5, 39, 61, 83, 73, 76, 81, 33, 93]]"
178,"[{89: 3.533232972713908}, [89, 35, 49, 76, 56, 72, 93, 88, 87, 97]]"
179,"[{32: 7.93298080750859}, [32, 68, 56, 42, 21, 47, 72, 89, 83, 93]]"
180,"[{89: 2.9896953611093133}, [89, 72, 76, 88, 93, 83, 81, 78, 80, 65]]"
181,"[{50: 4.890307162838719}, [50, 27, 31, 89, 69, 62, 61, 83, 93, 11]]"
182,"[{89: -0.846905793400661}, [89, 93, 97, 72, 76, 83, 87, 98, 91, 81]]"
183,"[{89: -2.2555457162345522}, [89, 83, 72, 76, 87, 91, 97, 81, 98, 95]]"
184,"[{10: 6.493923834933413}, [10, 25, 2, 53, 11, 34, 100, 62, 61, 72]]"
185,"[{65: 1.6954418841402732}, [65, 53, 89, 72, 83, 69, 29, 14, 76, 31]]"
186,"[{50: 8.681495798521942}, [50, 54, 61, 21, 49, 36, 27, 12, 53, 39]]"
187,"[{89: 2.2555075495383217}, [89, 62, 68, 27, 54, 53, 72, 76, 88, 91]]"
188,"[{89: 0.5007350485324353}, [89, 72, 76, 93, 81, 78, 88, 83, 91, 97]]"
189,"[{89: 5.287652173905145}, [89, 53, 93, 18, 54, 95, 91, 94, 72, 97]]"
190,"[{89: 3.276892567931698}, [89, 68, 36, 53, 97, 93, 72, 91, 76, 83]]"
191,"[{68: 5.362037126839147}, [68, 32, 89, 96, 94, 93, 92, 91, 76, 70]]"
192,"[{27: 3.218736290555042}, [27, 100, 89, 54, 36, 49, 6, 72, 62, 25]]"
193,"[{68: 5.783143369425339}, [68, 54, 72, 28, 56, 98, 76, 95, 12, 1]]"
194,"[{54: 7.733838813212307}, [54, 28, 84, 6, 83, 69, 85, 56, 71, 23]]"
195,"[{97: 0.15336923103198213}, [97, 62, 19, 50, 13, 1, 3, 61, 53, 27]]"
196,"[{29: 5.1512681103384494}, [29, 89, 61, 48, 88, 93, 28, 21, 87, 12]]"
197,"[{10: 4.858072057726803}, [10, 78, 72, 38, 87, 73, 76, 100, 93, 83]]"
198,"[{55: 2.286949613797913}, [55, 10, 89, 36, 50, 61, 49, 66, 54, 31]]"
199,"[{53: 6.090315109035208}, [53, 2, 66, 11, 22, 100, 1, 10, 25, 46]]"
200,"[{89: 5.101042600485591}, [89, 69, 72, 83, 93, 80, 76, 73, 87, 98]]"
201,"[{81: 5.831211673253158}, [81, 21, 22, 26, 35, 100, 14, 83, 98, 87]]"
202,"[{32: 6.365758635968051}, [32, 69, 36, 29, 35, 56, 66, 77, 20, 84]]"
203,"[{29: 5.140818148077882}, [29, 36, 2, 89, 62, 72, 56, 88, 81, 87]]"
204,"[{50: 3.886600919076102}, [50, 89, 29, 60, 32, 3, 88, 76, 69, 95]]"
205,"[{65: 4.648932889049241}, [65, 42, 93, 79, 83, 27, 85, 51, 12, 95]]"
206,"[{89: 4.691965294630274}, [89, 38, 46, 2, 97, 1, 22, 8, 42, 60]]"
207,"[{8: 1.9115971616357856}, [8, 60, 86, 48, 36, 82, 85, 71, 40, 75]]"
208,"[{50: 5.105187592450069}, [50, 46, 96, 21, 67, 88, 56, 87, 69, 12]]"
209,"[{36: 3.4269858057974703}, [36, 89, 56, 45, 47, 46, 72, 97, 21, 93]]"
210,"[{62: 10.0}, [62, 68, 73, 80, 72, 48, 69, 85, 21, 84]]"
211,"[{65: 2.942971523059867}, [65, 81, 27, 46, 31, 42, 25, 87, 72, 38]]"
212,"[{1: 1.0154192703681428}, [1, 27, 36, 50, 72, 85, 83, 6, 45, 64]]"
213,"[{53: 5.0447741708126035}, [53, 35, 80, 100, 69, 72, 66, 78, 76, 83]]"
214,"[{32: 4.270527878917909}, [32, 89, 21, 83, 39, 93, 97, 76, 91, 72]]"
215,"[{89: 2.9566077866859115}, [89, 93, 76, 88, 92, 87, 72, 1, 96, 10]]"
216,"[{54: 5.9675085569723105}, [54, 36, 61, 89, 35, 21, 29, 6, 72, 12]]"
217,"[{81: -2.804866468947622}, [81, 87, 89, 76, 73, 21, 100, 83, 75, 80]]"
218,"[{50: 2.979506029289326}, [50, 94, 91, 27, 55, 96, 93, 95, 89, 10]]"
219,"[{11: 5.403877080523674}, [11, 21, 81, 40, 72, 54, 83, 89, 80, 48]]"
220,"[{100: 4.9232971711465705}, [100, 85, 78, 73, 89, 80, 83, 72, 62, 94]]"
221,"[{80: 3.943151722267327}, [80, 42, 61, 12, 5, 35, 17, 56, 88, 92]]"
222,"[{93: 2.978090669253243}, [93, 62, 36, 85, 97, 48, 61, 91, 28, 80]]"
223,"[{65: 5.596998539337729}, [65, 11, 36, 69, 42, 12, 61, 34, 81, 54]]"
224,"[{89: 2.9046624615633387}, [89, 62, 53, 32, 27, 76, 91, 93, 72, 66]]"
225,"[{89: 3.6389660661106604}, [89, 50, 62, 68, 36, 93, 96, 72, 88, 47]]"
226,"[{48: 3.8033880770427766}, [48, 35, 26, 66, 21, 34, 23, 13, 2, 76]]"
227,"[{29: 4.928177334688888}, [29, 89, 10, 56, 31, 88, 12, 72, 22, 76]]"
228,"[{7: 5.713336882501768}, [7, 3, 38, 22, 44, 81, 100, 95, 83, 86]]"
229,"[{89: 5.642093138732313}, [89, 23, 91, 62, 97, 90, 49, 82, 10, 35]]"
230,"[{50: 5.374220943101356}, [50, 29, 97, 100, 93, 76, 56, 14, 6, 95]]"
231,"[{29: 8.025967503415654}, [29, 36, 31, 83, 100, 89, 72, 61, 14, 81]]"
232,"[{89: 4.212468990342205}, [89, 68, 54, 72, 93, 84, 82, 76, 88, 66]]"
233,"[{38: 7.127055884176936}, [38, 35, 78, 61, 72, 76, 70, 75, 96, 99]]"
234,"[{50: 3.4576299034408287}, [50, 89, 11, 72, 69, 100, 83, 78, 93, 68]]"
235,"[{100: 3.892639379728295}, [100, 2, 21, 72, 25, 87, 98, 81, 34, 12]]"
236,"[{22: 8.114793814993922}, [22, 27, 12, 21, 36, 62, 56, 31, 39, 53]]"
237,"[{27: 4.959580442259115}, [27, 89, 72, 61, 83, 78, 76, 80, 93, 77]]"
238,"[{53: -0.11060670589758481}, [53, 36, 46, 42, 14, 22, 11, 69, 34, 55]]"
239,"[{61: 5.730073547930413}, [61, 68, 76, 72, 89, 29, 80, 93, 87, 88]]"
240,"[{80: 8.148924329692019}, [80, 94, 77, 81, 74, 35, 30, 68, 52, 31]]"
241,"[{89: 3.012818413364254}, [89, 11, 93, 76, 87, 91, 72, 35, 55, 73]]"
242,"[{50: 7.869949549821994}, [50, 36, 70, 14, 94, 81, 98, 19, 7, 5]]"
243,"[{50: 4.730176683324687}, [50, 89, 32, 31, 72, 65, 56, 93, 14, 12]]"
244,"[{50: 2.09982246157912}, [50, 36, 22, 34, 35, 11, 49, 62, 89, 28]]"
245,"[{21: 4.0243414275675775}, [21, 31, 14, 72, 61, 12, 83, 100, 76, 81]]"
246,"[{65: 4.514754113797509}, [65, 89, 42, 62, 68, 72, 26, 39, 47, 93]]"
247,"[{80: 9.872954282550252}, [80, 72, 69, 98, 29, 42, 39, 26, 46, 99]]"
248,"[{29: 4.3651631596336085}, [29, 100, 83, 98, 72, 51, 54, 80, 73, 4]]"
249,"[{78: 4.835166981729544}, [78, 73, 80, 6, 72, 83, 100, 31, 76, 14]]"
250,"[{89: 2.724661058013476}, [89, 78, 72, 76, 85, 90, 5, 88, 73, 87]]"
251,"[{89: 2.3735400653797885}, [89, 90, 84, 97, 82, 86, 96, 91, 93, 99]]"
252,"[{95: 1.649988197836252}, [95, 96, 94, 97, 93, 91, 10, 76, 68, 86]]"
253,"[{10: 1.5569512238616086}, [10, 12, 72, 73, 22, 76, 11, 87, 92, 36]]"
254,"[{89: 4.346657059442348}, [89, 56, 72, 66, 28, 97, 93, 88, 91, 31]]"
255,"[{100: 4.041396597392895}, [100, 34, 39, 51, 81, 12, 26, 14, 22, 6]]"
256,"[{89: 5.841430845589674}, [89, 32, 36, 49, 56, 28, 93, 97, 72, 60]]"
257,"[{35: 1.1895695921859366}, [35, 53, 61, 45, 1, 3, 19, 76, 55, 44]]"
258,"[{61: 4.374707407100028}, [61, 49, 6, 31, 29, 88, 34, 78, 46, 91]]"
259,"[{21: 5.259025944048217}, [21, 53, 42, 72, 76, 83, 68, 89, 98, 48]]"
260,"[{35: 4.028735558098774}, [35, 89, 72, 93, 76, 53, 88, 63, 84, 78]]"
261,"[{68: 5.434020123319046}, [68, 89, 49, 96, 66, 90, 63, 93, 86, 92]]"
262,"[{89: 3.274816760112983}, [89, 54, 78, 6, 76, 73, 72, 55, 87, 80]]"
263,"[{89: 4.240313697522081}, [89, 72, 61, 88, 10, 76, 97, 1, 91, 26]]"
264,"[{61: 4.220363301268769}, [61, 42, 65, 6, 68, 12, 14, 89, 39, 21]]"
265,"[{50: 2.6123103371595713}, [50, 10, 49, 62, 3, 36, 56, 38, 91, 82]]"
266,"[{29: 5.272391757312043}, [29, 89, 49, 88, 48, 42, 72, 81, 93, 76]]"
267,"[{31: 6.623402945357813}, [31, 26, 12, 36, 56, 14, 38, 2, 53, 6]]"
268,"[{54: 5.813084722204389}, [54, 69, 87, 31, 26, 73, 95, 39, 8, 17]]"
269,"[{89: 3.473746064815079}, [89, 93, 83, 95, 76, 72, 78, 19, 97, 96]]"
270,"[{22: 3.8109340396747577}, [22, 10, 81, 60, 11, 1, 40, 3, 2, 41]]"
271,"[{32: 3.990310100363864}, [32, 89, 97, 93, 72, 76, 83, 66, 88, 28]]"
272,"[{10: 4.07381320646321}, [10, 28, 68, 63, 55, 9, 89, 82, 94, 48]]"
273,"[{31: 6.444929306006037}, [31, 100, 21, 42, 78, 85, 32, 80, 38, 73]]"
274,"[{89: 2.5679095189019043}, [89, 76, 72, 93, 35, 49, 83, 78, 87, 94]]"
275,"[{50: 4.174854157671728}, [50, 29, 53, 36, 27, 48, 72, 93, 6, 97]]"
276,"[{14: 5.90045749862018}, [14, 34, 69, 56, 35, 73, 45, 3, 1, 40]]"
277,"[{69: 2.075612548880131}, [69, 56, 86, 22, 6, 42, 82, 14, 92, 76]]"
278,"[{62: 7.32287202989979}, [62, 89, 27, 35, 54, 78, 50, 83, 28, 48]]"
